epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.438596,2.99496,4.2346,1.32698,0.0045,0.05,0.0028,0.00028,3.39216,3.95439,1.48248,0,0,0
2,0.793621,2.87557,4.0412,1.31432,0.00971,0.1,0.00653,0.00094,3.33298,3.94397,1.46576,1.65875e-05,1.65875e-05,1.65875e-05
3,1.15649,3.28186,4.12491,1.52417,0.01075,0.1,0.00685,0.00133,3.30925,3.944,1.46375,3.30099e-05,3.30099e-05,3.30099e-05
4,1.47067,3.57947,4.21029,1.58049,0.00602,0.05,0.00338,0.00101,3.28065,3.9427,1.46125,4.92674e-05,4.92674e-05,4.92674e-05
5,1.75892,3.03515,4.12589,1.46013,0.00658,0.05,0.00368,0.0011,3.26072,3.9411,1.44305,6.53597e-05,6.53597e-05,6.53597e-05
6,2.05185,3.65955,4.17139,1.47496,0.00676,0.05,0.00382,0.00076,3.23296,3.94254,1.43032,8.12871e-05,8.12871e-05,8.12871e-05
7,2.38246,3.58426,4.28128,1.47668,0.01316,0.1,0.00833,0.00237,2.92444,3.92121,1.27167,9.70494e-05,9.70494e-05,9.70494e-05
8,2.76438,2.65672,3.98035,1.20402,0.00649,0.05,0.00375,0.00262,2.63257,3.90212,1.17437,0.000112647,0.000112647,0.000112647
9,3.13613,2.56872,3.94406,1.20086,0.0137,0.1,0.00903,0.0033,2.17925,3.91034,1.03784,0.000128079,0.000128079,0.000128079
10,3.51909,2.10918,3.85357,1.0806,0.01429,0.1,0.0094,0.00605,1.98735,3.8762,0.96981,0.000143346,0.000143346,0.000143346
11,3.89746,1.68524,3.81608,0.94318,0.02083,0.15,0.01574,0.00639,1.90078,3.87196,0.94757,0.000158448,0.000158448,0.000158448
12,4.27734,2.12412,3.78328,0.96732,0.02222,0.18571,0.01538,0.00897,1.67048,3.87076,0.92312,0.000173386,0.000173386,0.000173386
13,4.65781,1.93844,3.66497,0.95968,0.02793,0.27143,0.02597,0.01391,1.4976,3.84262,0.90062,0.000188158,0.000188158,0.000188158
14,5.04006,1.88144,3.52488,0.90071,0.02561,0.30714,0.02686,0.01256,1.32251,3.84594,0.87886,0.000202765,0.000202765,0.000202765
15,5.45933,1.84922,3.49569,0.91823,0.03351,0.42857,0.03881,0.01091,1.27347,3.84451,0.86724,0.000217207,0.000217207,0.000217207
16,5.85818,1.49217,3.25996,0.87445,0.02328,0.30714,0.02255,0.00647,1.29282,3.84944,0.86534,0.000231484,0.000231484,0.000231484
17,6.22908,1.91022,3.25585,0.9004,0.04331,0.56429,0.04896,0.01246,1.36961,3.83604,0.86119,0.000245596,0.000245596,0.000245596
18,6.59463,1.98911,3.1882,0.92732,0.04331,0.56429,0.04896,0.01246,1.36961,3.83604,0.86119,0.000259543,0.000259543,0.000259543
19,6.97438,1.95225,3.22441,0.93862,0.06667,0.85714,0.10329,0.03483,1.35022,3.78504,0.85736,0.000273325,0.000273325,0.000273325
20,7.34545,1.46546,2.88122,0.89141,0.06667,0.85714,0.10329,0.03483,1.35022,3.78504,0.85736,0.000286942,0.000286942,0.000286942
21,7.73027,2.22886,3.09853,0.9125,0.07025,0.89286,0.11011,0.04506,1.31511,3.7447,0.85812,0.000300393,0.000300393,0.000300393
22,8.10467,1.72558,2.84468,0.89018,0.07025,0.89286,0.11011,0.04506,1.31511,3.7447,0.85812,0.00031368,0.00031368,0.00031368
23,8.48676,1.54908,2.67701,0.84822,0.07082,0.89286,0.10147,0.04063,1.34001,3.71194,0.86126,0.000326802,0.000326802,0.000326802
24,8.84412,1.83979,2.80041,0.86823,0.07082,0.89286,0.10147,0.04063,1.34001,3.71194,0.86126,0.000339759,0.000339759,0.000339759
25,9.21734,1.7671,2.69384,0.85738,0.06671,0.85714,0.09562,0.03277,1.35228,3.69699,0.8656,0.00035255,0.00035255,0.00035255
26,9.58008,1.82249,2.49818,0.85849,0.06671,0.85714,0.09562,0.03277,1.35228,3.69699,0.8656,0.000365177,0.000365177,0.000365177
27,9.95307,1.56525,2.45615,0.86773,0.06994,0.87857,0.10779,0.0256,1.24306,3.67162,0.85497,0.000377639,0.000377639,0.000377639
28,10.3121,1.42915,2.34621,0.8524,0.06994,0.87857,0.10779,0.0256,1.24306,3.67162,0.85497,0.000389935,0.000389935,0.000389935
29,10.6822,1.94874,2.59369,0.88103,0.0601,0.77143,0.08223,0.02194,1.25445,3.62356,0.85163,0.000402067,0.000402067,0.000402067
30,11.0439,1.76432,2.35395,0.88064,0.0601,0.77143,0.08223,0.02194,1.25445,3.62356,0.85163,0.000414034,0.000414034,0.000414034
31,11.4141,1.56295,2.04314,0.8527,0.0732,0.92857,0.11134,0.03084,1.28601,3.54517,0.85335,0.000425835,0.000425835,0.000425835
32,11.7696,1.28115,1.96415,0.81927,0.0732,0.92857,0.11134,0.03084,1.28601,3.54517,0.85335,0.000437472,0.000437472,0.000437472
33,12.1393,1.60676,2.08868,0.87544,0.07657,0.96429,0.16244,0.05784,1.36922,3.47484,0.86209,0.000448943,0.000448943,0.000448943
34,12.5097,1.45208,1.78453,0.85743,0.07657,0.96429,0.16244,0.05784,1.36922,3.47484,0.86209,0.00046025,0.00046025,0.00046025
35,12.8882,1.50092,1.96086,0.88149,0.07395,0.92857,0.15728,0.05651,1.48292,3.40465,0.87005,0.000471391,0.000471391,0.000471391
36,13.244,1.61054,1.74136,0.87731,0.07395,0.92857,0.15728,0.05651,1.48292,3.40465,0.87005,0.000482367,0.000482367,0.000482367
37,13.6144,1.73561,2.16994,0.86181,0.07694,0.96429,0.20241,0.08681,1.61189,3.33865,0.87914,0.000493179,0.000493179,0.000493179
38,13.9829,1.82992,1.99889,0.87041,0.07694,0.96429,0.20241,0.08681,1.61189,3.33865,0.87914,0.000503825,0.000503825,0.000503825
39,14.3684,1.6345,1.77712,0.83329,0.07983,1,0.29182,0.09858,1.50698,3.24128,0.86402,0.000514306,0.000514306,0.000514306
40,14.7383,1.37479,1.39646,0.86156,0.07983,1,0.29182,0.09858,1.50698,3.24128,0.86402,0.000524622,0.000524622,0.000524622
41,15.1219,1.8785,1.738,0.85861,0.07991,1,0.39923,0.14661,1.34386,3.11799,0.85044,0.000534774,0.000534774,0.000534774
42,15.4919,1.69795,1.53238,0.90663,0.07991,1,0.39923,0.14661,1.34386,3.11799,0.85044,0.00054476,0.00054476,0.00054476
43,15.8725,1.61545,1.69033,0.88306,0.0802,1,0.61018,0.27809,1.25988,2.98815,0.84491,0.000554581,0.000554581,0.000554581
44,16.242,1.71273,1.64686,0.93184,0.0802,1,0.61018,0.27809,1.25988,2.98815,0.84491,0.000564237,0.000564237,0.000564237
45,16.6172,2.26904,1.68858,0.90379,0.0801,1,0.65064,0.30223,1.19497,2.87711,0.84156,0.000573728,0.000573728,0.000573728
46,16.9843,1.41526,1.32407,0.90551,0.0801,1,0.65064,0.30223,1.19497,2.87711,0.84156,0.000583054,0.000583054,0.000583054
47,17.3669,1.83549,1.52314,0.86243,0.08,1,0.73018,0.32925,1.3149,2.80634,0.85094,0.000592215,0.000592215,0.000592215
48,17.737,1.68924,1.47858,0.87392,0.08,1,0.73018,0.32925,1.3149,2.80634,0.85094,0.000601211,0.000601211,0.000601211
49,18.123,1.86517,1.62417,0.87512,0.07976,1,0.77077,0.38546,1.59524,2.73948,0.86973,0.000610042,0.000610042,0.000610042
50,18.4944,1.86613,1.48032,0.92456,0.07976,1,0.77077,0.38546,1.59524,2.73948,0.86973,0.000618708,0.000618708,0.000618708
51,18.8767,1.54742,1.25006,0.80986,0.07983,1,0.84428,0.45608,1.52396,2.59492,0.8755,0.000627209,0.000627209,0.000627209
52,19.2461,1.4422,1.13439,0.84914,0.07983,1,0.84428,0.45608,1.52396,2.59492,0.8755,0.000635545,0.000635545,0.000635545
53,19.6144,1.61406,1.28431,0.86728,0.07983,1,0.84428,0.45608,1.52396,2.59492,0.8755,0.000643715,0.000643715,0.000643715
54,19.9986,1.2178,1.11907,0.87007,0.07964,1,0.88243,0.52848,1.32747,2.42433,0.85949,0.000651721,0.000651721,0.000651721
55,20.4264,1.66406,1.19927,0.85865,0.07964,1,0.88243,0.52848,1.32747,2.42433,0.85949,0.000659562,0.000659562,0.000659562
56,20.8433,1.81799,1.3526,0.87073,0.07964,1,0.88243,0.52848,1.32747,2.42433,0.85949,0.000667238,0.000667238,0.000667238
57,21.226,1.50649,1.3096,0.88014,0.09978,1,0.91213,0.59096,1.2335,2.35086,0.85396,0.000674748,0.000674748,0.000674748
58,21.5888,1.84995,1.30394,0.87204,0.09978,1,0.91213,0.59096,1.2335,2.35086,0.85396,0.000682094,0.000682094,0.000682094
59,21.9649,1.96005,1.2919,0.84586,0.09978,1,0.91213,0.59096,1.2335,2.35086,0.85396,0.000689274,0.000689274,0.000689274
60,22.3421,1.70624,1.38041,0.88084,0.88436,0.59384,0.88373,0.62329,1.10472,2.33663,0.84144,0.00069629,0.00069629,0.00069629
61,22.7049,1.54296,1.32383,0.87547,0.88436,0.59384,0.88373,0.62329,1.10472,2.33663,0.84144,0.000703141,0.000703141,0.000703141
62,23.068,1.43288,1.09591,0.83487,0.88436,0.59384,0.88373,0.62329,1.10472,2.33663,0.84144,0.000709826,0.000709826,0.000709826
63,23.4494,1.53535,1.2477,0.85597,0.91304,0.59078,0.83882,0.58094,1.16814,2.34498,0.83473,0.000716347,0.000716347,0.000716347
64,23.7992,1.24454,0.9085,0.82027,0.91304,0.59078,0.83882,0.58094,1.16814,2.34498,0.83473,0.000722702,0.000722702,0.000722702
65,24.1469,1.65746,1.30592,0.85879,0.91304,0.59078,0.83882,0.58094,1.16814,2.34498,0.83473,0.000728892,0.000728892,0.000728892
66,24.5217,1.63365,1.17896,0.86856,0.92556,0.59483,0.85175,0.55771,1.20853,2.34782,0.83835,0.000734918,0.000734918,0.000734918
67,24.8823,1.6007,1.27911,0.87758,0.92556,0.59483,0.85175,0.55771,1.20853,2.34782,0.83835,0.000740778,0.000740778,0.000740778
68,25.2336,1.44871,1.12198,0.82647,0.92556,0.59483,0.85175,0.55771,1.20853,2.34782,0.83835,0.000746473,0.000746473,0.000746473
69,25.606,1.75995,1.58493,0.86024,0.91929,0.59071,0.87152,0.54853,1.22797,2.28244,0.8418,0.000752004,0.000752004,0.000752004
70,25.9577,1.28619,0.96023,0.86531,0.91929,0.59071,0.87152,0.54853,1.22797,2.28244,0.8418,0.000757369,0.000757369,0.000757369
71,26.3049,1.42349,1.05867,0.8398,0.91929,0.59071,0.87152,0.54853,1.22797,2.28244,0.8418,0.000762569,0.000762569,0.000762569
72,26.6754,1.39198,1.10125,0.83561,0.95364,0.51783,0.89515,0.60076,1.16996,2.14827,0.84287,0.000767604,0.000767604,0.000767604
73,27.0257,1.35111,1.07557,0.83395,0.95364,0.51783,0.89515,0.60076,1.16996,2.14827,0.84287,0.000772474,0.000772474,0.000772474
74,27.3883,1.6448,1.24959,0.88522,0.95364,0.51783,0.89515,0.60076,1.16996,2.14827,0.84287,0.00077718,0.00077718,0.00077718
75,27.7657,1.69076,1.07187,0.85992,0.95859,0.39566,0.93463,0.63178,1.11458,2.02402,0.83967,0.00078172,0.00078172,0.00078172
76,28.1265,1.22244,1.059,0.83297,0.95859,0.39566,0.93463,0.63178,1.11458,2.02402,0.83967,0.000786095,0.000786095,0.000786095
